	Frag. Sampled	Frag. Len. Min.	Frag. Len. 1st. Qu.	Frag. Len. Mean	Frag. Len. Median	Frag. Len. 3rd Qu.	Frag. Len. Max	Frag. Len. Std.	Frag. Med. Abs. Dev.	Frag. Len. 10%	Frag. Len. 20%	Frag. Len. 30%	Frag. Len. 40%	Frag. Len. 60%	Frag. Len. 70%	Frag. Len. 80%	Frag. Len. 90%	Frag. Len. 99%	Reads Sampled	Read Len. Min.	Read Len. 1st. Qu.	Read Len. Mean	Read Len. Median	Read Len. 3rd Qu.	Read Len. Max	Read Len. Std.	Read Med. Abs. Dev.	Read Len. 10%	Read Len. 20%	Read Len. 30%	Read Len. 40%	Read Len. 60%	Read Len. 70%	Read Len. 80%	Read Len. 90%	Read Len. 99%
Results/mapping/Lamina_CP_Tissue.markdup.sorted.bam	841973	0.0	53.0	178.33542643291412	88.0	190.0	30688802.0	33460.92759254585	43.0	41.0	49.0	58.0	70.0	115.0	159.0	225.0	329.0	561.0	841973	20.0	55.0	65.3673787639271	74.0	75.0	75.0	12.91412920161874	1.0	43.0	51.0	60.0	71.0	74.0	75.0	75.0	75.0	75.0
Results/mapping/Lamina_GS_Tissue.markdup.sorted.bam	925083	0.0	66.0	694.9002921899981	135.0	249.0	110278156.0	199150.41996276914	79.0	47.0	59.0	75.0	98.0	181.0	223.0	282.0	376.0	605.0	925083	20.0	67.0	68.55218829013181	74.0	75.0	75.0	11.005470098718408	1.0	48.0	60.0	72.0	74.0	75.0	75.0	75.0	75.0	75.0
