	Frag. Sampled	Frag. Len. Min.	Frag. Len. 1st. Qu.	Frag. Len. Mean	Frag. Len. Median	Frag. Len. 3rd Qu.	Frag. Len. Max	Frag. Len. Std.	Frag. Med. Abs. Dev.	Frag. Len. 10%	Frag. Len. 20%	Frag. Len. 30%	Frag. Len. 40%	Frag. Len. 60%	Frag. Len. 70%	Frag. Len. 80%	Frag. Len. 90%	Frag. Len. 99%	Reads Sampled	Read Len. Min.	Read Len. 1st. Qu.	Read Len. Mean	Read Len. Median	Read Len. 3rd Qu.	Read Len. Max	Read Len. Std.	Read Med. Abs. Dev.	Read Len. 10%	Read Len. 20%	Read Len. 30%	Read Len. 40%	Read Len. 60%	Read Len. 70%	Read Len. 80%	Read Len. 90%	Read Len. 99%
Results/mapping/Liver_CP_Tissue.markdup.sorted.bam	1004484	0.0	51.0	288.1834434396168	83.0	179.0	62269439.0	82533.87633881636	41.0	41.0	47.0	54.0	65.0	115.0	161.0	200.0	278.0	511.0	1004484	20.0	51.0	63.71778843665006	73.0	75.0	75.0	13.873311017889634	2.0	41.0	47.0	55.0	66.0	74.0	75.0	75.0	75.0	75.0
Results/mapping/Liver_GS_Tissue.markdup.sorted.bam	880262	0.0	58.0	196.28806991554788	114.0	220.0	29920697.0	31910.413399076402	65.0	44.0	53.0	65.0	84.0	154.0	195.0	252.0	357.0	604.0	880262	20.0	59.0	66.58083502411782	74.0	75.0	75.0	12.582454154634203	1.0	44.0	53.0	66.0	73.0	75.0	75.0	75.0	75.0	75.0
